st_name,st_distance,st_right_ascension,st_declination,st_spectral_type,st_solar_radii,st_mass,st_luminosity,st_effective_temp,pl_discovery_method,pl_orbital_period,pl_orbital_sm_axis,pl_orbital_eccentricity,pl_orbital_inclination,pl_jupiter_mass,pl_earth_mass,pl_earth_mass_sini,pl_jupiter_radii,pl_earth_radii,pl_density,pl_equilibrium_temp
11 Com,110.62,185.179276,17.792868,K0 III,19,2.7,2.243,4742,Radial Velocity,326.03,1.29,0.231,,19.4,,6165.6,,,,
11 UMi,119.47,229.274536,71.823898,K4 III,24.08,1.8,,4340,Radial Velocity,516.22,1.54,0.08,,10.5,,3337.07,,,,
14 And,76.39,352.822571,39.236198,G8 III,11,2.2,1.763,4813,Radial Velocity,185.84,0.83,0,,4.8,,1525.5,,,,
14 Her,18.15,242.601303,43.817646,K0 V,,0.9,,5311,Radial Velocity,1773.4,2.77,0.369,,4.64,,1474.67,,,,
16 Cyg B,21.41,295.466553,50.517525,G2.5 V,,0.99,,5674,Radial Velocity,798.5,1.681,0.681,,1.68,,533.9544,,,,
18 Del,73.1,314.608063,10.839286,G6 III,8.5,2.3,1.602,4979,Radial Velocity,993.3,2.6,0.08,,10.3,,3273.5,,,,
1RXS J160929.1-210524,145,242.376268,-21.083036,K7 V,,0.85,-0.37,4060,Imaging,,330,,,8,3000,,,,,1700
24 Sex,74.79,155.86821,-0.902244,K0 IV,4.9,1.54,1.164,5098,Radial Velocity,452.8,1.333,0.09,,1.99,,632.46,,,,
24 Sex,74.79,155.86821,-0.902244,K0 IV,4.9,1.54,1.164,5098,Radial Velocity,883,2.08,0.29,,0.86,,273.32,,,,
2MASS J01225093-2439505,36,20.712243,-24.664049,M3.5 V,,0.4,-1.72,3530,Imaging,,52,,,24.5,7786.5,,,,,
2MASS J02192210-3925225,39.4,34.842106,-39.422928,M6,0.28,0.11,-2.23,3064,Imaging,,156,,,13.9,4417.837,,1.44,16.141,,
